,price,resid_z,p_value,flag_conformal,flag_isoforest,flag_lof,votes,severity,flag
2023-01-06,213.0,0.48824265060842675,0.5636482939632546,0,0,0,0,0,0
2023-01-09,208.57000732421875,-0.6326214242053495,0.45704918032786884,0,0,0,0,0,0
2023-01-10,206.69000244140625,-0.7883561303037432,0.3492791612057667,0,0,0,0,0,0
2023-01-11,208.02999877929688,-0.2965877595513694,0.7066142763588736,0,0,0,0,0,0
2023-01-12,214.32000732421875,0.9978924878403734,0.25981675392670156,0,0,0,0,0,0
2023-01-13,214.1300048828125,-0.015513504659377429,0.9829954218443427,0,0,0,0,0,0
2023-01-17,211.41000366210938,-0.4298771003252672,0.6039215686274509,0,0,0,0,0,0
2023-01-18,209.41000366210938,0.4985512596424574,0.5558458523840627,0,0,0,0,0,0
2023-01-19,207.08999633789062,-0.06547431243544488,0.9366840731070496,0,0,0,0,0,0
2023-01-20,206.75999450683594,-1.0891007342033858,0.2217873450750163,0,0,0,0,0,0
2023-01-23,209.97000122070312,0.07349257872901804,0.9269882659713168,0,0,0,0,0,0
2023-01-24,211.97999572753906,0.2779530265129696,0.7224755700325733,0,0,0,0,0,0
2023-01-25,212.67999267578125,0.057015836495500676,0.9453125,0,0,0,0,0,0
2023-01-26,212.72999572753906,-0.5549114513026923,0.5094339622641509,0,0,0,0,0,0
2023-01-27,211.1699981689453,-0.3806236066743368,0.6417425227568271,0,0,0,0,0,0
2023-01-30,209.6699981689453,0.3656998772940517,0.6536712150747238,0,0,0,0,0,0
2023-01-31,213.0,-0.14218447452756022,0.8584415584415584,0,0,0,0,0,0
2023-02-01,214.75,-0.1522922483361578,0.8462037637897469,0,0,0,0,0,0
2023-02-02,209.33999633789062,-1.823387330762281,0.08365758754863813,0,0,0,0,0,0
2023-02-03,206.00999450683594,-0.1691413488120057,0.829552819183409,0,0,0,0,0,0
2023-02-06,206.80999755859375,0.31264223808475283,0.6884715025906736,0,0,0,0,0,0
2023-02-07,214.75999450683594,1.0898613784935598,0.22006472491909385,0,0,0,0,0,0
2023-02-08,213.5,0.2316064154413552,0.7716688227684346,0,0,0,0,0,0
2023-02-09,211.99000549316406,0.0811457703664303,0.9211376858435681,0,0,0,0,0,0
2023-02-10,212.88999938964844,-0.1706961723315983,0.8275193798449613,0,0,0,0,0,0
2023-02-13,215.64999389648438,-0.02374102309941475,0.9793415106520336,0,0,0,0,0,0
2023-02-14,218.4499969482422,0.5153408360143545,0.5387096774193548,0,0,0,0,0,0
2023-02-15,217.44000244140625,-0.3884691104577622,0.6350741457124436,0,0,0,0,0,0
2023-02-16,212.2100067138672,-0.3789998375564946,0.6398195876288659,0,0,0,0,0,0
2023-02-17,211.66000366210938,-0.10138658149571042,0.901481004507405,0,0,0,0,0,0
2023-02-21,205.52000427246094,-0.2533664229584308,0.750965250965251,0,0,0,0,0,0
2023-02-22,205.75999450683594,0.11029403845134393,0.890032154340836,0,0,0,0,0,0
2023-02-23,208.1300048828125,0.28678901182013544,0.7062982005141388,0,0,0,0,0,0
2023-02-24,198.14999389648438,-1.7280010408530455,0.08863198458574181,0,0,0,0,0,0
2023-02-27,200.4600067138672,0.37318180266751794,0.6424903722721438,0,0,0,0,0,0
2023-02-28,201.5500030517578,0.4719656947366007,0.5657472738935215,0,0,0,0,0,0
2023-03-01,204.5500030517578,0.8798730982371891,0.30448717948717946,0,0,0,0,0,0
